"","tree","cutyr","plot","stand","spp","tpa_tree","max_grade","dib","vol_log","vol_ac","grade","roadside","stumprt","stump_log","stump_ac","cumsurv","stump_ac_mortadj"
"35",115,30,"spfr",1,"white pine",35,5,6.4244106656726,0.0183575297455206,0.642513541093219,5,62.5,1.5,0.0275362946182808,0.963770311639829,0.951891290445818,0.917404565640205
"36",115,30,"spfr",1,"white pine",35,3,11.3580804680032,0.0774770187899358,2.71169565764775,3,110.999407645106,30.5996445870637,2.37076923863729,82.9769233523051,0.951891290445818,78.9850106470495
"37",115,30,"spfr",1,"white pine",35,3,8.13924356048731,0.0345124024332212,1.20793408516274,3,80.2046240563682,12.1227744338209,0.418386069867193,14.6435124453518,0.951891290445818,13.9390319582653
"38",116,80,"spfr",1,"white pine",35,2,9.36249700813644,0.0488971112793093,1.71139889477582,2,166.364609858567,63.81876591514,3.12055329866079,109.219365453128,0.239653161684823,26.1747662480521
"39",116,80,"spfr",1,"white pine",35,2,5.8976789125301,0.0143352041800052,0.501732146300181,5,62.5,1.5,0.0215028062700078,0.752598219450271,0.239653161684823,0.180362542769626
"40",116,80,"spfr",1,"white pine",35,2,7.30971619212428,0.0261131292749916,0.913959524624706,5,67.1042597434435,4.26255584606608,0.111308671850195,3.89580351475681,0.239653161684823,0.933641629614316
"41",116,80,"spfr",1,"white pine",35,3,7.88230090362188,0.031793653795383,1.1127778828384,5,62.5,1.5,0.0476904806930745,1.66916682425761,0.239653161684823,0.40002110681275
"42",116,80,"spfr",1,"white pine",35,2,8.37421872637815,0.0370907181909758,1.29817513668415,2,132.078637170482,43.2471823022895,1.60406905132798,56.1424167964792,0.239653161684823,13.4547076899033
"43",116,80,"spfr",1,"white pine",35,2,8.8222883142734,0.0422508755771295,1.47878064519953,2,151.470215378163,54.8821292268981,2.31881801337361,81.1586304680765,0.239653161684823,19.4499223896847
"44",116,80,"spfr",1,"white pine",35,5,4.14558592586145,0.00413374997331454,0.144681249066009,5,62.5,1.5,0.00620062495997181,0.217021873599013,0.239653161684823,0.0520099781627675
